tipo_pelicula,titulo_pelicula,anno_estreno,mes_estreno ,id_pelicula,genero_pelicula
Movie,"Kimetsu no Yaiba Kizuna no Kiseki, Soshite Hashira Geiko e",2024,2,tt30395619,Action
Movie,The Crypto: Dark Justice,2024,11,tt30396321,Action
Movie,Lothorin: Part Two,2024,12,tt30399520,Action
Movie,Toofan,2024,6,tt30415138,Action
Movie,Posledniy ronin,2024,12,tt30425001,Action
Movie,Cacophony the Animated Movie,2024,12,tt30446975,Action
Movie,Rebellion: War Across Nations,2024,5,tt30470734,Action
Movie,Operation Baraat,2024,4,tt30485382,Action
Movie,The Magnetic Fighters,2024,11,tt30476573,Action
Movie,The Crypto: Beyond,2024,10,tt30609082,Action
Movie,Troubleshooters,2024,10,tt30661504,Action
Movie,Huan qian,2024,2,tt30698096,Action
Movie,Jorge da Capadócia,2024,4,tt30768673,Action
Movie,Pariah Volume 1: Every Street Dog Has a Name,2024,2,tt30777379,Action
Movie,Boyz,2024,1,tt30808927,Action
Movie,Bush Knife,2024,3,tt30810211,Action
Movie,V pogone za kamnem,2024,1,tt30811417,Action
Movie,Villain,2024,1,tt30828548,Action
Movie,S.N.S.O.B - Supernatural Squad of Badasses Part 2,2024,5,tt30842302,Action
Movie,Xiao zi,2024,2,tt30842823,Action
Movie,Checkmate,2024,3,tt30850554,Action
Movie,The Expendables,2024,1,tt30850912,Action
Movie,Envidia la Película,2024,1,tt30869046,Action
Movie,Jiwa 8 Belas,2024,1,tt30887725,Action
Movie,Fast Furious,2024,1,tt30895352,Action
Movie,Chinatown Chacha,2024,1,tt30957694,Action
Movie,Rob N Roll,2024,1,tt30958950,Action
Movie,The Die Hard,2024,1,tt30961629,Action
Movie,Deserved It,2024,2,tt30970075,Action
Movie,Article 370,2024,2,tt30970235,Action
Movie,Torch Jamaica Drug Lord,2024,1,tt30970690,Action
Movie,Mu zhong wu ren 2,2024,2,tt30972810,Action
Movie,Hell City,2024,por estrenar,tt30979442,Action
Movie,The Dark Night,2024,1,tt30981375,Action
Movie,Sehnsucht nach Firdaws,2024,1,tt30984911,Action
Movie,Get Close 2,2024,6,tt30985567,Action
Movie,Ohsama Sentai King-Ohger vs. Kyoryuger,2024,4,tt30990790,Action
Movie,Ohsama Sentai King-Ohger vs. Donbrothers,2024,4,tt30990872,Action
Movie,Avengers,2024,1,tt30997271,Action
Movie,Back for Life,2024,9,tt30996130,Action
Movie,Bonnie,2024,2,tt31022272,Action
Movie,Behind Enemy Lines,2024,1,tt31023788,Action
Movie,The Vent,2024,2,tt31029252,Action
