tipo_pelicula,titulo_pelicula,anno_estreno,mes_estreno,id_pelicula,genero_pelicula
Short,Deep Score,2010,4,tt1521753,Comedy
Movie,Ula,2019,2,tt2946468,Drama
Short,Reach Out,2018,12,tt9279476,Drama
Short,GTA Roleplay: Cuarentena Edition,2020,5,tt13821634,Comedy
Short,How He Lived,2023,1,tt20508366,Drama
Short,Plant Girl,2010,4,tt1509203,Drama
Movie,Swipe,2017,2,tt6493422,Drama
Movie,Namma Veettu Pillai,2019,9,tt10709404,Drama
Movie,Love You 2,2018,7,tt13460164,Drama
Short,Son los padres,2012,12,tt2616070,Comedy
Movie,I Hate the Man in My Basement,2020,3,tt5174992,Drama
Short,Superkid,2016,11,tt4126498,Comedy
Movie,Kick,2014,7,tt2372222,Comedy
Short,Puber,2018,2,tt8328262,Comedy
Short,Après Séance,2019,N/A,tt27599544,Drama
Short,Domino Street,2017,N/A,tt7020296,Drama
Short,Bypass,2015,5,tt5497544,Comedy
Movie,Before I met you,2016,por estrenar,tt5823826,Drama
Short,It's All Okay Now,2015,5,tt4885222,Comedy
Short,Aunt Lotus & Her Dream Bicycle,2022,6,tt21353090,Drama
Short,Audible Awkwardness,2024,2,tt31912312,Drama
Short,First Glance,2020,9,tt13074704,Drama
Short,Degusta,2010,por estrenar,tt1704706,Comedy
Short,Isla de Los Ladrones,2011,5,tt1985122,Drama
Short,The Professional Man from Montreal,2022,9,tt21967960,Comedy
Short,Le poids du silence,2013,5,tt24514174,Drama
Short,Adventures,2010,por estrenar,tt1605619,Comedy
Movie,"Tôi Nay, 8 Gio!",2011,12,tt10229972,Drama
Short,Incubus,2012,10,tt2546782,Comedy
Short,Young Readers,2016,5,tt6441232,Drama
Short,The Green Room,2010,12,tt1925516,Drama
Short,Ballada Kyczejewska,2023,6,tt27435714,Drama
Movie,Madoff: Made Off with America,2013,1,tt1639081,Drama
Short,The Worst,2018,6,tt9024248,Action
Movie,God Father,2020,2,tt11531324,Drama
Movie,Booking Jane,2021,N/A,tt14050764,Drama
Short,The Cell,2016,5,tt5851960,Drama
Short,Amongst Strangers,2016,10,tt6614728,Drama
Short,The Way We Work,2021,por estrenar,tt15761142,Drama
Short,Hashi,2014,por estrenar,tt4396690,Comedy
Short,El Astrónomo,2010,12,tt1975152,Comedy
Short,Liquor and Life,2024,N/A,tt28798656,Drama
Short,Bury It,2013,8,tt3924984,Drama
Short,Plastic Surgery,2019,N/A,tt21272636,Drama
Short,Moving On,2012,por estrenar,tt2372864,Comedy
Movie,The Devil Outside,2018,6,tt4958972,Drama
Short,Silent Garden,2013,9,tt3225526,Drama
Short,This Story Will Never End,2014,8,tt3868646,Drama
Movie,How to Impeach a President,2020,7,tt15813022,Comedy
Short,Beer Run,2012,N/A,tt3067218,Comedy
Short,Natural Selection,2022,7,tt21799856,Comedy
Short,Screenshot,2021,5,tt22498450,Drama
Movie,Et tes soleils,2015,por estrenar,tt4384994,Drama
Short,Ang Huling Hantungan,2019,10,tt20101896,Drama
Movie,Masala Padam,2015,10,tt5103942,Action
Movie,Chakkaramampazham,2014,3,tt3655924,Drama
Short,Zui hou de qiang wang,2012,3,tt3521376,Action
Short,Rob Riggle's Got Your Back,2012,por estrenar,tt2397547,Comedy
Movie,Ganduli,2022,4,tt19360832,Drama
Short,Tri-Bulation,2021,9,tt21309146,Drama
Short,Tom,2017,1,tt6436716,Comedy
Short,Two Drops,2012,8,tt2813476,Comedy
Short,Pink Aura,2018,por estrenar,tt8713080,Comedy
Movie,How to Be Deadly,2014,9,tt4022208,Comedy
Short,The Story of a Story,2014,por estrenar,tt4263812,Drama
Short,You Weren't There,2023,por estrenar,tt27011154,Drama
Movie,La botera,2019,12,tt11504976,Drama
Movie,Kontract,2022,por estrenar,tt14423288,Action
Short,La me,2015,por estrenar,tt7843910,Comedy
Movie,Fist & Furious,2019,7,tt10660436,Action
Short,Tova: Escape from Respa,2011,9,tt2538342,Action
Short,Todos os meus ídolos estão mortos,2012,8,tt5874694,Action
Short,Pierre e a Mochila,2013,10,tt3547664,Drama
Short,The Cook-Off,2024,N/A,tt30831825,Drama
Short,Last Round,2019,11,tt10948204,Drama
Movie,Do-Gooders,2021,1,tt13070608,Comedy
Movie,Kakatheeyudu,2019,7,tt10651232,Drama
Short,Mum,2021,10,tt16518144,Drama
Short,Crucifaxe II: The Immaculate Deception,2012,N/A,tt11230766,Comedy
Movie,The Dionti Family,2015,4,tt3922270,Drama
Short,Bored,2011,3,tt1776841,Action
Short,Chess 4 Life,2012,3,tt2150542,Drama
Short,Coffee Time,2020,6,tt12637928,Comedy
Movie,Distance Between Dreams,2016,11,tt6255746,Action
