nombre_actor,anno_nacimiento,peliculas,que_hace,premios
Giulia Manzini,,"Made in Italy', 'Io, Arlecchino', 'Gli sdraiati', 'We Are Who We Are'",Reparto',
Gianni Ferreri,196,"Distretto di polizia', 'Il Mio Regno per una Farfalla', 'Piper - La serie', 'El ciclón'",Reparto',
Ajab Gul,,"Kyun Tumse Itna Pyar Hai', 'Jaal', 'Khoey Ho Tum Kahan', 'Sabar Sha Zargiya'","Reparto', 'Dirección', 'Guion'",
Afreen Khan,,"Asli Sukh', 'Girls in Big City 221', 'Lust', 'None'",Reparto',
Arbaaz Khan,1967,"Dabangg', 'Dabangg 2', 'Shootout at Lokhandwala', 'Tanaav'","Reparto', 'Producción', 'Dirección'",1
Asif Khan,,"Nede Vidudala', '919 Lakeview Drive', 'The dark', 'None'","Reparto', 'Producción'",1
Jahangir Khan,,"Paan Singh Tomar', 'Dilwale', 'Gangubai Kathiawadi', 'Bholaa'","Reparto', 'Equipos adicionales'",
Warda Khan,,"I Miss You', 'Azad', 'Zandan', 'None'",Reparto',
David Letterman,1947,"Late Show with David Letterman', 'Late Night with David Letterman', 'Beavis y Butt-Head recorren América', 'Partes privadas'","Guion', 'Producción', 'Reparto'",21
Martin Short,195,"El chip prodigioso', 'Santa Claus 3: Por una Navidad sin frío', 'Puro vicio', 'Tres amigos'","Reparto', 'Guion', 'Producción'",16
Chita Rivera,1933,"Chicago', 'Sgt. Pepper', 'tick, tick... Boom!', 'Noches en la ciudad'","Reparto', 'Banda sonora'",1
Susan Stroman,1954,"Los productores', 'El ritmo del éxito', 'Tienes un e-mail', 'The Right Girl'","Equipos adicionales', 'Dirección', 'Guion'",1
Florence Henderson,1934,"La tribu de los Brady', 'The Brady Bunch Variety Hour', 'La tribu de los Brady', 'Shakes'","Reparto', 'Producción', 'Guion'",3
Sheldon Harnick,1924,"El violinista en el tejado', 'Election', 'Beautiful boy, siempre serás mi hijo', 'Las últimas vacaciones'","Música', 'Guion', 'Composición'",1
Steve Young,1961,"The Singles Ward', 'Lois y Clark: Las nuevas aventuras de Superman', 'Playa azul', 'Dos en el aire'",Reparto',
Jello Biafra,1958,"El mensajero del miedo', 'Grindhouse: Planet Terror', 'Asesinos natos', 'Grindhouse'","Reparto', 'Composición', 'Producción'",
Don Bolles,1956,"El regreso de los muertos vivientes', 'Dreamaniac', 'Free LSD', 'Night Pulse'","Reparto', 'Equipos adicionales', 'Música'",
Melody Rogers,,"Diamond Zero', 'Salvados por la campana', 'Salvados por la campana: Boda en Las Vegas', 'JAG: Alerta roja'","Reparto', 'Banda sonora'",
Virginia Leigh,,"Waiting for Summer', 'Leatha Acidents', 'Killer God', 'Everything Changes'","Reparto', 'Composición'",
Simeon Taole,1977,"Everything Changes', 'Diaphony', 'Sola ante el peligro', 'None'","Reparto', 'Edición', 'Dirección'",1
Maia Costea,,"Behind the Rocks', 'Pirates', 'Home', 'The Candy Girl'","Reparto', 'Guion', 'Edición'",7
Althea Kaye,,"¡Qué duro es el amor!', 'Motherland: Fort Salem', 'Kung Fu', 'Henry and Gloria'",Reparto',7
Austin J.M. Ross,1993,"Cold Feet', 'Henry and Gloria', 'Buckerham Hill', 'None'",Reparto',
Charlie James,,"Billy & Molly: An Otter Love Story', 'One Life', 'Natural World', ""A Bear's-Eye View of Yellowstone""","Dirección de fotografía y cámara', 'Cámara y electricidad', 'Producción'",2
Yolanda Clayton,,"Silent Code', 'Sins of My Sistahs', 'Enigma (Secrets Among Friends)', 'Sistahs the Forties Club'","Reparto', 'Guion', 'Producción'",
Monica Crumpler,,"A Very Merry New Year', 'Bad Fellaz', 'Justice Through Redemption', 'He Say, She Say'","Reparto', 'Producción'",
Ricky Bell,,"Plan de chicas', 'Tropic Thunder: ¡Una guerra muy perra!', '4 días y 4 noches', 'The New Edition Story'","Reparto', 'Producción', 'Composición'",2
William Clayton Lll,,"Silent Code', 'None', 'None', 'None'",Reparto',2
Saia Grayson,,"El paraíso perdido', 'Sins of My Sistahs', 'Sistahs the Forties Club', 'Silent Code'",Reparto',
Lavon Mckethan,,"Buena conducta', ""Devil's Preacher"", 'Silent Code', 'Real Love 224'","Reparto', 'Dirección de fotografía y cámara'",
Jamaar Dewitt,,"Sins of My Sistahs', 'Silent Code', 'None', 'None'","Reparto', 'Composición'",
Renee Grayson,,"XEEP', 'None', 'None', 'None'",Dirección de casting',
Timothy Mincey,,"Sins of My Sistahs', 'Silent Code', 'None', 'None'",Reparto',
Adrián Portillo,,"Casa de sudor y lágrimas', 'Beach House', 'Hada', 'Àpat'",Reparto',
Sharonne,,"Pulled from Darkness', 'Hijos del Sur', 'Discarded Things', 'The Resident'","Reparto', 'Dirección', 'Producción'",13
Kambuzia Partovi,1956,"Café Transit', 'Kamion', 'Naneh Lala va bacheharesh', 'Mahi'","Guion', 'Dirección', 'Equipos adicionales'",11
Maryam Moghadam,197,"El perdón', 'Keyke mahboobe man', 'Ehtemal-e Baran-e Asidi', 'Bouran'","Reparto', 'Dirección', 'Guion'",3
Jafar Panahi,196,"Taxi Teherán', 'Tres caras', 'Fuera de juego', 'El círculo'","Dirección', 'Edición', 'Guion'",53
Hadi Saeedi,,"Soog', 'Pardeh', 'Fuera de juego', 'Persian Carpet'","Reparto', 'Producción', 'Dirección de producción'",53
Azadeh Torabi,,"Pardeh', 'None', 'None', 'None'",Reparto',53
Abolghasem Sobhani,,"Pardeh', 'None', 'None', 'None'",Reparto',53
Mahyar Jafaripour,,"Pardeh', 'None', 'None', 'None'",Reparto',53
Ramin Akhariani,,"Pardeh', 'None', 'None', 'None'",Reparto',53
Sina Mashyekhi,,"Pardeh', 'None', 'None', 'None'",Reparto',53
Siamak Abedinpour,,"Pardeh', 'None', 'None', 'None'",Reparto',53
Aleksey Agranovich,197,"Yumorist', 'Código oculto (Branded)', 'Pingviny moyey mamy', 'Gostya'","Reparto', 'Producción'",3
Yuri Kolokolnikov,198,"Hunter Killer: Caza en las profundidades', 'Tenet', 'El otro guardaespaldas', '6 en la sombra'","Reparto', 'Producción'",1
Alisa Khazanova,1974,"La mujer de negro', 'Middleground', 'Skazka pro temnotu', 'Belyy spisok'","Reparto', 'Dirección', 'Guion'",1
Pavel Ilin,1963,"Londongrad', 'Nezhnyy vozrast', 'Yumorist', 'Shekspiru i ne snilos'",Reparto',
Artyom Volobuyev,,"El reto', 'Zloy gorod', 'El último guerrero', 'Optimisty: Karibskiy sezon'",Reparto',
Polina Aug,1995,"Sin amor', 'Compartimento nº 6', 'Orlean', 'Dzhetlag'",Reparto',
Simon Steinberg,,"None', 'None', 'None', 'None'",None,
Vilma Kutaviciute,,"Vosmerka', 'Trotskiy', 'Alibi', 'Lavstori'",Reparto',
Kristians Karelins,,"Yumorist', 'Reetur', 'Senotaji', 'Apsestiba'",Reparto',
Olga Dibtseva,1986,"YA BOGINYA', 'Ozabochennye', 'Dobriy den', 'Chasovshchik'","Reparto', 'Dirección', 'Guion'",
Pinar Corbacioglu,,"Beni Böyle Sev', 'Beyaz Yalan', 'Kertenkele', 'Elde Var Hayat'","Dirección', 'Dirección de la segunda unidad o asistencia a dirección', 'Reparto'",
James Gaines,1955,"Sed de venganza', 'Black Fire', 'Mahirap patayin, masamang buhayin', 'Robowar - Robot da guerra'","Reparto', 'Guion', 'Equipos adicionales'",
Svetla Georgieva,,"Amigo Ernesto', 'Strastna nedelya', 'None', 'None'",Arte',
Aerial Segard,,"The Wonderland', 'A Clear Midnight', '5th Passenger', 'Poster Boy'","Reparto', 'Especialistas', 'Equipos adicionales'",
Joanne Thomson,,"Outlander', 'La víctima', 'Detective Muncie', 'Mank'","Reparto', 'Guion', 'Producción'",1
Rob Turner,,"On Your Feet', ""Crow's Nest"", 'Digger', 'Corvus'","Dirección', 'Producción', 'Equipos adicionales'",
Marc Lubbers,,"Young Rock', 'JG Wentworth: Grocery Stop', 'The Food That Built America', 'Panic 9-1-1'",Reparto',1
R.J. Koker,,"Lucky Louie', 'Trust NO One', 'Mr. Blue Shirt: The Inspiration', 'Lincoln: Divided We Stand'","Reparto', 'Producción', 'Equipos adicionales'",
Scott Tomlinson,,"Bad Ben 12: Alien Agenda', 'Bad Ben 11: Undead', 'Bad Ben 13: The Dracula Situation', 'Bad Ben 1: Eulogy'",Reparto',
Mark Worth,,"Doors', 'None', 'None', 'None'",Reparto',
Bobby Newton 2nd,,"The Freedom to Fall Apart', ""You Weren't There"", 'A Familiar Face', ""A Woman's Body""","Reparto', 'Especialistas'",
Sherrill Ducharme,,"The Christmas Letter', 'Doors', 'Winston', 'Holly and the Hot Chocolate'",Reparto',
Park Chan-yeol,1992,"Goblin', 'Woo-Ri Yup-Jip-Ae Exo-Ga San-Da', 'Recuerdos de la Alhambra', 'Nangmandakteo Kimsaboo'","Reparto', 'Composición', 'Guion'",2
Shanshan Yuan,1987,"Jian bing xia', 'Jiang shan ru ci duo jiao', 'Suoye...he hei fen jiehunle', 'Xiao ao jianghu'","Reparto', 'Banda sonora'",3
Seohyun,1991,"Moon Lovers: Scarlet Heart Ryeo', 'Wangeul Chajaseo', 'Amarrados al amor', 'Make Your Move'","Reparto', 'Guion', 'Música'",1
Chao Jiang,1975,"Nan hai gui xu', 'Shi liu hong le', 'Qi yue de wu bu', 'Long ling mi ku'",Reparto',2
Qian Wu,1992,"Bing Tang Dun Xue Li', 'Ze tian ji', 'Wo de qi miao nan you', 'He Yi Sheng Xiao Mo'",Reparto',4
Sarah Carey,,"Tangerine', 'Catfish: Mentiras en la Red', 'The Great Food Truck Race', 'Prospect'","Producción', 'Guion', 'Reparto'",4
Sean Houle,,"Sweet Harry', 'None', 'None', 'None'",Reparto',4
Justin Walters,,"La maldición del hombre lobo', 'The Idiot', 'None', 'None'",Reparto',
Rob Wight,,"Cannibal Comedian', 'Area 515', 'Swamp Murders', 'River Money'","Reparto', 'Equipos adicionales'",
Joey Bicicchi,,"No Way Out', 'Tin Soldier', 'Encerrado con el diablo', 'Vincent N Roxxy'","Reparto', 'Producción', 'Edición'",3
Gianna Capparelli,,"Reflection', 'None', 'None', 'None'",Reparto',3
Benjamin Danielowski,,"God in Ruins', 'Reflection', 'Mi sueño es bailar', 'None'",Reparto',
Matt Gorkis,,"If She Screams', 'An Ideal Candidate', 'We Hate', 'Lori Marpe & Her Idiosyncratic Candy'","Reparto', 'Producción'",
Larry Hau,,"Rides with Jay Thomas', 'None', 'None', 'None'",None,
LaRoyce Hawkins,1988,"Chicago P.D.', 'El expreso de Elmira', 'Chicago Fire', 'Chicago Justice'","Reparto', 'Producción'",
Kevin Michael Martin,,"Ritual', 'The Last Ship', 'God in Ruins', 'Wild Card'","Reparto', 'Guion', 'Producción'",1
Michael O'Hare,1952,"Babylon 5', 'C.H.U.D. (Caníbales Humanoides Ululantes Demoníacos)', 'La ambulancia', 'Promesa de amor'",Reparto',
Joseph Pedersen,1963,"Platoon', 'Le llaman Bodhi', 'Twin Peaks: Fuego camina conmigo', 'Suburbia'",Reparto',
Stephen Santay,,"God in Ruins', 'Ultimate Spider-Man', 'Ritual', 'El rey de la colina'","Equipos adicionales', 'Reparto', 'Producción'",
Shaun Davies,,"Headmaster', 'Sara', 'None', 'None'",Reparto',
Adam Brix,1978,"Ditte & Louise', 'Luces parpadeantes', 'The Shift', 'Landet af glas'","Reparto', 'Especialistas', 'Equipos adicionales'",
Julie Christiansen,1987,"Mens vi lever', 'Et lift', 'Lykke', 'Alla Salute!'",Reparto',2
Mette Riber Christoffersen,,"Råzone', 'Preludium', 'Sjit Happens', 'Knus'",Reparto',
Joju George,1978,"Joseph', 'Chola', 'Udhaharanam Sujatha', 'Madhuram'","Reparto', 'Producción', 'Música'",7
Athmeeya Rajan,1989,"Shekar', 'Cold Case', 'Adrishyam', 'Rose Guitarinaal'",Reparto',7
Dileesh Pothan,1981,"Joji', 'Thondimuthalum Dhriksakshiyum', 'Maheshinte Prathikaaram', 'Kumbalangi Nights'","Reparto', 'Dirección de la segunda unidad o asistencia a dirección', 'Producción'",9
James Eliya,,"Kalki', 'Oru Kuprasidha Payyan', 'Kooman', 'Kali'",Reparto',9
Irshad,,"Drishyam', 'Wolf', 'Malik', 'Big Brother'","Reparto', 'Producción'",
Sudhi Koppa,,"Malik', 'Unda', 'King of Kotha', 'Lakshyam'",Reparto',
Madhuri Braganza,199,"Al Mallu', 'Joseph', 'Pathonpatham Noottandu', 'Ente Mezhuthiri Athazhangal'","Reparto', 'Música'",
Malavika Menon,1998,"Hero', 'Kaduva', 'Edakkad Battalion 6', 'Thankamani'",Reparto',
Johny Antony,,"Masters', 'C.I.D. Moosa', 'Kochi Rajavu', 'Thappana'","Reparto', 'Dirección', 'Dirección de la segunda unidad o asistencia a dirección'",
Idavela Babu,,"Lion', 'Monster', 'News', 'The King'",Reparto',
Hasan Tanay,,"Devrimden Sonra', 'Entropy', 'None', 'None'",Reparto',
Johanna Gonzales,,"Conejos', 'Alicia', 'None', 'None'",Reparto',
Claudia Rojas,,"Total Recall: Desafío total', 'Vengadores: Endgame', 'Ejército de los muertos', 'Black Panther'",Transporte',2
Rafael Camacho,,"Depositarios', 'Morenita, el escándalo', 'Pet Shop Days', 'Retrieving Paradise'","Arte', 'Dirección de arte', 'Equipos adicionales'",2
Jean-Luc Bubert,1979,"Wintermärchen', 'LenaLove', 'Glück', 'Der Schrei'",Reparto',1
Maja Lehrer,,"Endzeit', 'Wald', 'In aller Freundschaft', 'Unter uns'",Reparto',1
Franziska Rieck,,"Der Imagonaut', 'Sibylle', 'Luft', 'The Source of Shadows'",Reparto',1
Joseph Brosnan,,"The Bear Man', 'None', 'None', 'None'",Reparto',1
James Morley,,"Black Days', 'La aventura del Intrépido', 'Death of Me', 'Pánico en alta mar'","Producción', 'Guion', 'Dirección'",1
Albert Green,,"El cuerpo en llamas', 'Un mal día lo tiene cualquiera', 'Te esperaré en Venus', 'No matarás'","Reparto', 'Producción', 'Dirección'",1
Dmitry Pan,,"SAGA - Curse of the Shadow', 'The Bee', 'Change of Heart', 'A Whiteboard Love Story'","Reparto', 'Equipos adicionales'",1
Ken Pounga,,"The Hunted: Storm', 'None', 'None', 'None'",Reparto',1
Michael Simsek,,"Bless Her Heart', ""Lover's Game"", 'Identity Zero', 'The Eye of Horus'","Efectos visuales', 'Reparto', 'Producción'",3
Nikko Harris,,"The Last Stand', 'Love vs Logic', 'Nancy Drew', 'Dorsin & Brown'","Reparto', 'Guion'",3
Tiffanie Sun,,"Digital Dream', 'The Last Stand', 'None', 'None'",Reparto',3
Ellis Potter,,"Diligit', 'None', 'None', 'None'",Guion',3
Sara Rabey,,"""DC's Legends of Tomorrow"", ""Hell's Tomb"", 'Amelia', 'Inedia'","Reparto', 'Equipos adicionales'",3
Jeffrey C.R. Wallace,,"12 balas', 'Kid Cannabis', 'Sobrenatural', 'Eat It Raw'","Reparto', 'Guion', 'Dirección de fotografía y cámara'",
Abigail Culwell,,"Fugue', 'Banged Up', 'Mercy', 'Alpha Must Die'","Reparto', 'Dirección'",
John Charles Meyer,,"Dave Made a Maze', 'The Millennium Bug', 'Mom', 'Savaged'","Reparto', 'Producción', 'Dirección de la segunda unidad o asistencia a dirección'",6
Norma Maldonado,1962,"The Good Doctor', 'Jane the Virgin', 'Familia de acogida', 'Breaking Bad'",Reparto',6
Jenn Fee Catalino,,"Girls! Girls! Girls!', 'Amigos con dinero', 'Big Game', 'The Untitled Luke Emerald Project'","Reparto', 'Producción', 'Guion'",1
Kelly Lett,,"Daku kyatto', 'None', 'None', 'None'",Reparto',1
Toni Domanico,,"Part Time Fabulous', 'Witchy Ways', 'Nip/Tuck, a golpe de bisturí', 'Everyday Lies'",Reparto',
Amy Lucas,,"Escape from Tomorrow', 'Stalled', 'All the Best, Billy Sears', 'Undressed'",Reparto',
A. Christopher Purdy,,"Final: The Rapture', 'The Epic Journey', 'Libertad', 'Affliction'","Producción', 'Reparto'",
Christine Tanabe,,"Stuffed', 'Girls! Girls! Girls!', 'Altered Spirits', 'Snuff'","Guion y continuidad', 'Reparto', 'Cámara y electricidad'",
Chris Hopkins,,"Crímenes imperfectos', 'None', 'None', 'None'",None,
Haven Nutt,,"Mr. Man', 'Street Dykes', 'Maskerade', 'Gun'","Reparto', 'Producción', 'Dirección'",
Ben Fiore,1959,"Appointment with Death', 'The Mamaluke', 'Pursuit', 'Penelope'","Guion', 'Reparto', 'Producción'",
Keith McMahon,,"Creencias mortales', 'None', 'None', 'None'",Reparto',
Sheila Dara Aisha,,"Yang Hilang Dalam Cinta', 'Noktah Merah Perkawinan', 'Nanti kita cerita tentang hari ini', 'Eggnoid'","Reparto', 'Banda sonora'",1
Dion Wiyoko,,"Cek Toko Sebelah', 'Terbang: Menembus Langit', 'Susi Susanti: Love All', 'Hattrick'",Reparto',
Morgan Oey,,"The Night Comes for Us', 'Koki-Koki Cilik', 'Assalamualaikum Beijing', 'Sweet 2'","Reparto', 'Banda sonora'",3
Ferry Salim,1967,"Bangkit!', 'Ca-bau-kan', '245 Apa Ada Cinta', 'Teka Teki Tika'",Reparto',
Jenny Chang,,"Perdidos', 'Agent Orange', 'The Orb', 'In the Moment'","Reparto', 'Producción'",
Eriska Rein,,"Bajaj Bajuri the Movie', 'Aku Cinta Kamu', 'A Man Called Ahok', 'Teka Teki Tika'",Reparto',
Tansri Kemala,,"Teka Teki Tika', 'None', 'None', 'None'",Reparto',
Ayu Laksmi,,"""Los hijos de Satán (Satan's slaves)"", 'Bumi Manusia', 'Di Bawah Pohon', 'Sekala Niskala'","Reparto', 'Composición'",
Whani Darmawan,,"Kucumbu tubuh indahku', '24 horas con Gaspar', 'The Love Verses', 'Qodrat'","Reparto', 'Equipos adicionales'",1
Kiki Narendra,,"Pengabdi Setan 2: Communion', 'La mujer del infierno', 'Preman', 'Pertaruhan: The Series'",Reparto',1
Enrico Basile,,"Maria Montessori', 'I Came from the Future', 'Rêve General', 'Un passo alla volta'",Reparto',1
Carmine Claudio Covino,,"Un passo alla volta', 'Un colpo al cerchio e uno alla botte', 'None', 'None'",Reparto',1
Festus Osayi Ebomwonyi,,"Un passo alla volta', 'None', 'None', 'None'",Reparto',1
Michele Farina,,"None', 'None', 'None', 'None'",None,1
Micòl Gaia Ferrigno,,"Un passo alla volta', 'Un colpo al cerchio e uno alla botte', 'Doppio sei', 'None'","Reparto', 'Dirección de casting'",
Nicola Russo,,"""Nemici d'infanzia"", 'I pavoni', 'Marciando nel buio', 'Tobia al caffè'",Reparto',
Bayejid Sarker,,"Un passo alla volta', 'None', 'None', 'None'",Reparto',
Seydou Sidibe,,"Un passo alla volta', 'None', 'None', 'None'",Reparto',
Arianna Sorrentino,,"Imma Tataranni', 'Un passo alla volta', 'None', 'None'",Reparto',
Giorgio Sorrentino,,"Gomorrah', 'Sumerika', 'The Voice Is Over', 'Soma'","Reparto', 'Sonido'",
Diana Chiritescu,,"Ant-Man', 'El viaje más largo', 'Los originales', 'Fox the Gambler'","Reparto', 'Producción'",
Nate Clute,,"Semper', 'Guys Reading Poems', 'The Choice', 'The Circuit Intendant of Aldwych'","Reparto', 'Sonido', 'Edición'",
Julian Curi,,"Gruff', 'A Case for Love', 'None', 'None'","Dirección', 'Producción', 'Guion'",1
Mindee de Lacey,,"Dave', 'The Onania Club', 'The Allnighter', 'Feud'","Reparto', 'Producción'",1
Kenneth Duchamp,,"Pawn', 'K for Karma', 'White Baklava', 'Common Sense Police'","Producción', 'Dirección', 'Reparto'",1
Morgan McNair,,"Stepdaughter Slaughter', 'Chauffeur', 'Pictures of Us', 'None'",Reparto',1
Jay DeVon Johnson,,"Cinnamon', 'Greenleaf', 'Dear Santa, I Need a Date', 'Nancy Drew y la escalera escondida'","Reparto', 'Producción', 'Equipos adicionales'",
Drez Ryan,,"A New Orleans Noel', 'Panhandle', 'Moonshot', 'Ordinary Joe'",Reparto',
Christian Brunetti,,"Falcon y el Soldado de Invierno', 'Black Lightning', 'Max', 'House of Cards'","Especialistas', 'Reparto', 'Equipos adicionales'",
Kimberly Ann Parker,,"Enjambre', ""Somebody's Child"", '3 Day Promise', 'Black Mafia Family'","Reparto', 'Producción', 'Guion'",
Samantha Peel,,"""The Supremes at Earl's All-You-Can-Eat"", 'On the Come Up', 'Insatiable', 'Los últimos días de Ptolemy Grey'",Reparto',
Aaron Rosendary,,"Megan Leavey', 'Ranam', 'Army Wives', 'Homeland'","Guion y continuidad', 'Reparto', 'Especialistas'",
Catherine Anderson,,"Grassman', 'Murder Bowl', 'The Caretaker', 'Made in Cleveland'","Reparto', 'Vestuario', 'Maquillaje'",1
Jerry Lee Tucker,,"La última bandera', 'Pequeño Demonio', 'Criminal Activities', 'None'","Reparto', 'Producción', 'Dirección'",1
Frank Merkx,,"What About American History', 'A Documentary', 'Belching 37', 'A Hong Kong Opera'","Reparto', 'Dirección', 'Producción'",1
Kristian Van der Heyden,,"Lamunan Oi!', 'Como reinas', 'Semalu', 'Under'","Producción', 'Reparto', 'Guion'",7
Javier Botet,1977,"It', 'Amigo', 'La momia', 'Expediente Warren: El caso Enfield'","Reparto', 'Guion', 'Producción'",12
Julián Génisson,,"Ayudar al ojo humano', 'Esa sensación', 'La tumba de Bruce Lee', 'Inmotep'","Reparto', 'Guion', 'Dirección'",1
Lorena Iglesias,,"La tumba de Bruce Lee', 'Ayudar al ojo humano', 'Dioses autonómicos', 'Mamántula'","Reparto', 'Dirección', 'Guion'",
David Pareja,,"Amigo', 'La mesita del comedor', 'The Kids', 'Mirada perdida'","Reparto', 'Guion', 'Dirección'",11
Mireia Pérez,,"Bon Dia Bonica', 'Negocis de família', 'Fugitiva', 'Un suave olor a canela'",Reparto',
Aaron Rux,,"La tumba de Bruce Lee', 'Vergüenza', 'Todos tus secretos', 'Purgatorio'","Composición', 'Reparto', 'Música'",
Xabi Tolosa,,"Cabás', 'Biotopía', 'Todos tus secretos', 'Mantícora'","Reparto', 'Producción'",
Zach Kanner,,"For You, Anything', 'Desperate Acts of Magic', 'Mi película de la cienciología', 'Easter Bloody Easter'","Reparto', 'Producción', 'Dirección'",
Tom Rathbone,,"Obituary of the Sun', 'Madison Avery', 'Coffee and ECigarettes', 'None'",Reparto',
Lec Zorn,197,"The Marsh Man', 'Ghost Bartender', 'The Hacker', 'The Diamond Chase'","Reparto', 'Producción', 'Guion'",
Nicolas Akrabov,,"Cello', 'Shooting star', 'The Last Attempt', 'None'","Dirección', 'Reparto', 'Guion'",
Radostina Vasileva,,"AJ Tracey: Live on the River Thames - Hennessy Courts Beyond Limits', 'None', 'None', 'None'",Edición',
Andrea Stefancikova,,"Debris', 'Výnimocná Nikol', 'American Badger', 'Below Her Mouth'","Reparto', 'Producción', 'Dirección de casting'",2
Kirk Caouette,,"X-Men 2', 'Dream with You', 'A Xiu Luo', 'Elektra'","Especialistas', 'Guion', 'Dirección'",4
Michael Kopsa,1956,"Los 4 Fantásticos', 'Apollo 18', 'Love Happens', 'El origen del planeta de los simios'","Reparto', 'Banda sonora'",
Milan Stefancik,,"Promiseland', 'American Badger', 'None', 'None'",Reparto',
Zak Santiago,,"Human Cargo', 'Young Blades', 'Ultimátum a la Tierra', 'Perfect Sisters'","Reparto', 'Producción', 'Especialistas'",1
Adrian Hough,,"Home Before Dark', ""Assassin's Creed III"", ""X-Men '97"", 'Las escalofriantes aventuras de Sabrina'",Reparto',
Sean Kohnke,,"Predator', 'Deadpool 2', 'El rascacielos', 'Warrior'","Especialistas', 'Reparto', 'Guion'",
Tristan Risk,198,"Frankenstein Created Bikers', 'American Mary', 'Amazon Hot Box', 'Ayla'","Reparto', 'Guion', 'Dirección'",6
John Sampson,,"Paycheck', 'El equipo A', 'Redención (Southpaw)', 'The Lookout'","Especialistas', 'Efectos especiales', 'Equipos adicionales'",
Mark Skip Schilperoort,,"American Badger', 'Promiseland', 'None', 'None'",Reparto',
Dony Ndadem,,"Nouveau stock', 'Par elles, pour elles', 'None', 'None'",Reparto',
Yannick Nkongnte,,"Empoisonnement', 'Par elles, pour elles', 'Nouveau stock', 'Halte'","Reparto', 'Edición', 'Sonido'",
Sami Allison,,"Proud Citizen', 'Fort Maria', 'None', 'None'",Reparto',
Blakeley Burger,,"Proud Citizen', 'None', 'None', 'None'",Reparto',
Ryan Case,198,"Modern Family', 'Fire Me', 'The Mindy Project', 'Brooklyn Nine-Nine'","Edición', 'Dirección', 'Producción'",2
Natalie Cummins,,"Proud Citizen', 'None', 'None', 'None'",Reparto',2
Elliott Moore Haynes,,"Proud Citizen', 'None', 'None', 'None'",Reparto',2
Leif Rigney,,"Proud Citizen', 'Hitting the Cycle', 'None', 'None'",Reparto',2
Judy Sanders,,"Proud Citizen', 'None', 'None', 'None'",Reparto',2
Katerina Stoykova-Klemer,,"Proud Citizen', 'The Way Things Are', 'Fort Maria', 'Love at 48'","Reparto', 'Guion', 'Equipos adicionales'",2
Irina Alfyorova,1951,"""D'Artanyan i tri mushketyora"", 'Geroy nashego vremeni', 'Parol znali dvoye', 'S lyubimymi ne rasstavaytes'",Reparto',1
Ellina Bandeeva,,"Druzya druzey', 'Starye Shishki', 'Zhizn po vyzovu', 'Galustyan+'",Reparto',1
Sergey Batalov,1957,"Kolya - perekati pole', 'Bratya Karamazovy', 'Una composición para el día de la victoria', 'Arifmetika lyubvi'",Reparto',1
Maksim Belborodov,1989,"Ikariya', 'Zloy gorod', 'Oderzhimaya', 'Krepost Badaber'",Reparto',1
Sergey Borisov,,"Sin amor', 'Leviatán', 'Portret v sumerkakh', 'Komandir'",Reparto',1
Peter Chernyaev,,"Starye Shishki', 'None', 'None', 'None'",Reparto',1
Aleksey Guskov,1958,"Otets', 'Ragin', 'Las confesiones', 'Granitsa. Tayozhnyy roman'","Reparto', 'Producción'",2
Macy Minear,,"All of You Will Die', 'Deadly Cheers', 'Share?', 'Hurtcore'",Reparto',1
Yana Sheuko,,"Hurtcore', 'The Host App', 'LIVE FEED: Breakdown', 'Gaslit'",Reparto',1
Sasha Prince,,"Hurtcore', 'Justice League Dark: Best of the Worst', ""Kyle's Pocket Dial"", 'Hollywood Laundromat'","Reparto', 'Decoración'",1
Spencer Vaughn Kelly,,"WordLotto', 'Hurtcore', 'The Shell', 'Bonus Trip'","Reparto', 'Dirección', 'Guion'",4
Kaleb Anthony,,"Hurtcore', 'Still Standing', 'None', 'None'","Reparto', 'Equipos adicionales'",1
Patriana Jones,,"Climax: The Web-Series', 'Consent', 'Sorrow Is the Most Ennobling Emotion', 'None'","Reparto', 'Guion', 'Producción'",1
Kimiko McCarthy,,"Love & Us', 'Consent', 'None', 'None'",Reparto',1
Romel Rose,,"""America's Pit Bull"", 'Because of the Internet', 'High Yellow', 'John'","Reparto', 'Equipos adicionales', 'Producción'",3
Danielle Sappleton,,"The Super Pops', 'The Rap Pops', 'Jinn', 'Big Bear Weekend: Tangled Wed of Deceit'","Reparto', 'Música'",3
Didier Bourdon,1959,"3 hermanos... muy primos', 'Un buen año', 'Madame Irma', '3 hermanos y una herencia'","Reparto', 'Guion', 'Dirección'",3
Gérard Darmon,1948,"Astérix y Obélix: Misión Cleopatra', 'Betty Blue', 'El buen ladrón', 'Vous êtes jeunes vous êtes beaux'","Reparto', 'Guion', 'Cámara y electricidad'",2
Paloma Coquant,1989,"7 días en Entebbe', 'Munch', 'Arthur Curse', 'Bright Minds'",Reparto',2
Chantal Lauby,1948,"La jaula dorada', 'Tus manos en mi cintura', 'Dios mío, ¿pero qué te hemos hecho?', 'Astérix y Obélix: Misión Cleopatra'","Reparto', 'Guion', 'Dirección'",2
Niina Koponen,,"Ollaan vapaita', 'Rat King', 'Theon talo', 'Putous'","Reparto', 'Guion', 'Vestuario'",
Ada Forsberg,,"Juha', 'Juhannusyö', 'Sijainen', 'Luottomies'","Reparto', 'Especialistas'",
