nombre_actor,anno_nacimiento,peliculas,que_hace,premios
Marcus Zollicoffer,,"Life Changes Everything: Discover Zac Ryan', 'Ellen Degeneres: Can I Have Your Attention Please?', 'Johnny Awful', 'Torn'","Reparto', 'Equipos adicionales'",
Imran Arooj,,"Ashen Streets', 'Beyound the Glam', 'None', 'None'","Reparto', 'Producción'",
Firdaus Jamal,,"Khuda Aur Muhabbat', 'Muftbar', 'Alladin', 'Nargis'",Reparto',
Syed Faris Pervez,,"Polis Evo', 'Ashen Streets', 'Saya E Khuda E Zuljalal', 'Lost'","Reparto', 'Especialistas'",
Saba Qamar,1984,"Hindi Medium', 'Baaghi', 'Tera Pyar Nahi Bhoole', 'Lahore Se Aagey'",Reparto',4
Pavitra Jain,,"Disconnected: The Cellphone Addiction Effects', 'None', 'None', 'None'",Reparto',4
Ojas Ujjwal Narula,,"Disconnected: The Cellphone Addiction Effects', 'None', 'None', 'None'",Reparto',4
Prahlad Rajput,,"Disconnected: The Cellphone Addiction Effects', 'Malicious Links', 'None', 'None'",Reparto',4
Hrituraj Shrivastav,,"Malicious Links', 'Disconnected: The Cellphone Addiction Effects', 'None', 'None'",Reparto',4
Liz Lafontant,,"Bruh', 'The Oval', 'The Plantation', 'Hours.'","Reparto', 'Producción'",4
Tarik Lewis,,"Outer Banks', 'Between Waves', ""Everyone's Best: Superfriends"", 'Codename'","Reparto', 'Guion', 'Producción'",4
Kevin Julio,1993,"Adriana', 'Kolak Express 3', 'Jagoan Instan', 'Eggnoid'",Reparto',
Indah Permatasari,,"Rudy Habibie: Habibie & Ainun 2', 'Acuerdo de boda: La serie', 'Si Manis Jembatan Ancol', 'A: Aku, Benci & Cinta'",Reparto',1
Mathias Muchus,1957,"Toba Dreams', 'Pengejar Angin', 'Hari Ini Pasti Menang', 'Rindu purnama'","Reparto', 'Dirección', 'Guion'",2
Nino Fernandez,,"Ang lihim ni Antonio', 'None', 'None', 'None'",Reparto',2
Debo Andryos,,"Feliz ve jenny', 'My Comic Boyfriend', 'Akad', 'A: Aku, Benci & Cinta'",Reparto',2
Jennifer Coppen,,"Pretty Little Liars', 'Akad', ""Mekah I'm Coming"", 'Generasi Micin'","Reparto', 'Banda sonora'",
Harris Soedarto,,"Seperti Hujan yang Jatuh ke Bumi', 'Akad', 'None', 'None'",Reparto',
Elizabeth Christine,1983,"Hello Ladies', 'Perfect Couples', 'FlashForward', 'Ya no me siento a gusto en este mundo'","Reparto', 'Producción'",1
Ike Muti,,"Kesetiaan Janji Cinta', 'Akad', 'Persahabatan Bagai Kepompong', 'Bluebell'",Reparto',1
Arif Alfiansyah,,"Akad', 'Sekawan Limo', 'Kejar Mimpi Gaspol!', 'La horma de su zapato'",Reparto',1
Marko Almado Jr.,,"The Telephone', 'Golden Boy', 'Circuit Man', 'Shoot: Episode One Still Shooting.'","Reparto', 'Dirección', 'Guion'",
Adan James Carrillo,,"Amend', 'Todo sobre mi padre', 'El abogado del Lincoln', 'Los segundones'",Reparto',2
Luke Sell,,"The Mark Steyn Show', 'None', 'None', 'None'",None,2
Oscar Valdivia,,"Venom', 'Black Panther', 'Proyecto Rampage', 'Godzilla: Rey de los monstruos'",Cámara y electricidad',2
Cody Bray,,"This Is Letting Go', 'Just Money', 'The Unraveling', 'Under a Dead Ohio Sky'","Producción', 'Reparto', 'Guion'",2
Jon Berry,,"Three Days or Else', 'Sleeping with Death', 'The Desk', 'None'","Reparto', 'Guion'",2
Joseph Vitale,191,"Camino de Río', 'El rey del Oeste', 'Un yanqui en la corte del rey Arturo', 'Rostro pálido'","Reparto', 'Composición'",
Vincent DeSantis,,"Lou', 'San Andrés', 'Hora punta', 'Garra'",Arte',
Ethan Hawkins,,"Territory', ""Pandora's Box"", 'The Blackened Path', 'Epoch'","Reparto', 'Guion', 'Producción'",
Kevin Arthurs,,"The Dark Magician', 'Two Tragedies', 'Paradigm 153', 'The Blackened Path'","Reparto', 'Producción', 'Sonido'",
Clayton Bray,,"Just Money', 'The Unraveling', 'This Is Letting Go', 'The Cost of Freedom'",Reparto',
Jonah Muser,,"The Unraveling', 'None', 'None', 'None'",Reparto',
Jared Carnes,,"Just Money', 'Under a Dead Ohio Sky', 'The Unraveling', 'The Natural Selection'",Reparto',
Carter Creamer,,"Killing Time', 'The Void: A Black Box Universe Story', 'The Cost of Freedom', 'The Natural Selection'","Reparto', 'Guion', 'Producción'",
Matthew Arnett,,"Post Shift: The Series', 'A Shadow Fell', 'Gossip Boy', 'Contrapposto: A Study'","Reparto', 'Dirección', 'Producción'",
Megan Davis,,"Hot Take: The Depp/Heard Trial', 'American Horror Story', 'Bones', 'Una chef en casa'","Reparto', 'Producción'",
Jack Pryor,,"Harry Potter y el misterio del príncipe', 'Big Mouth', 'Cat Snatchers', 'None'",Reparto',
Joe la Macchia,,"King Me', 'None', 'None', 'None'",Reparto',
Julian Lipoff,,"King Me', 'Austintatious', 'The Backseat', 'Bring on the Damned!'","Reparto', 'Producción', 'Dirección'",
Steven Marcario,,"A Misunderstanding of Trust', 'A New Age: Clash of Civilizations', 'Reel Life', 'Face'","Dirección de fotografía y cámara', 'Cámara y electricidad', 'Edición'",
Randall Holloway,,"Bubbly Brown Sugar', 'Tamron Hall investiga', 'Situationships', 'Tastes Like Medicine'","Reparto', 'Producción', 'Dirección de casting'",
Lauren Julia,,"Once Upon A Dime', 'Lucifer', 'Sweet Redemption', 'Fishpriest'","Reparto', 'Dirección', 'Guion'",
Wi-Moto Nyoka,,"Wham', 'Echoes in Silence', 'Nora', 'The Metamorphosis of Ismaila Ba'","Reparto', 'Guion', 'Producción'",2
Marisa Rambaran,,"Tastes Like Medicine', 'The Other Side', 'None', 'None'",Reparto',2
Damion Rochester,,"Tastes Like Medicine', ""Don't Go too Far"", 'An Accidental Fire', 'The Dark Strums'","Reparto', 'Equipos adicionales'",1
Justin Walker White,,"El agente invisible', 'The Bold Type', 'Blue Bloods', 'Broad City'",Reparto',1
Leo Fitzpatrick,1978,"Kids', 'Bully', 'Bubble Boy (El chico de la burbuja)', 'Serendipity'",Reparto',1
Justin Rice,,"El espía que me plantó', 'Sin compromiso', 'Nick y Nora, una noche de música y amor', '¡Salvados!'","Equipos adicionales', 'Reparto', 'Composición'",1
Laura Campbell,1953,"The Rocky Horror Picture Show', 'Shock Treatment', 'Grandes esperanzas', 'Pink Floyd: The Wall (El muro)'","Reparto', 'Banda sonora'",1
Brian Charles Johnson,,"El lobo de Wall Street', 'Proceso de admisión', 'Gotham', 'La cocina del infierno'",Reparto',1
Neal Huff,,"Spotlight', 'Moonrise Kingdom', 'Vanishing on 7th Street', 'Múltiple'","Reparto', 'Banda sonora'",5
Deshja Driggs,,"The Arcadian', 'The Unraveling of Margaret Fisher', 'Stones in the Sun', 'Doomsdays'",Reparto',
